motor,kv,prop,voltage_v,throttle_pct,current_a,rpm,thrust_g,power_w,efficiency_g_per_w
M1106,6000,GF2020-4(?),16.8,20,1.1,23649,48.2,17.8,2.71
M1106,6000,GF2020-4,16.8,40,2.7,34568,103.2,45.6,2.26
M1106,6000,GF2020-4,16.8,60,4.5,42364,151.6,74.8,2.03
M1106,6000,GF2020-4,16.8,80,7.7,53026,233.9,128.9,1.81
M1106,6000,GF2020-4,16.7,100,12.8,63559,336.4,214.4,1.57
M1106,6000,GFD63-3,12.6,20,0.8,12680,33.5,10.5,3.18
M1106,6000,GFD63-3,12.6,40,2.3,18777,73.3,29.1,2.52
M1106,6000,GFD63-3,12.6,60,4.5,24128,119.4,56.5,2.11
M1106,6000,GFD63-3,12.5,80,8.9,31661,206.6,111.1,1.86
M1106,6000,GFD63-3,12.5,100,14.9,37884,297.2,186.2,1.60
M1106,6000,GF3028-3,12.6,20,0.8,13402,39.2,10.3,3.81
M1106,6000,GF3028-3,12.6,40,2.2,19861,88.9,28.2,3.16
M1106,6000,GF3028-3,12.6,60,4.3,25182,146.2,53.5,2.73
M1106,6000,GF3028-3,12.5,80,8.6,32784,258.8,108.2,2.39
M1106,6000,GF3028-3,12.5,100,14.3,38647,357.5,178.1,2.01
