motor,kv,prop,voltage_v,throttle_pct,current_a,rpm,thrust_g,power_w,efficiency_g_per_w
M1103,8000,GF1636-3(?),16.3,100,18.4,53536,225.3,283.9,0.79
M1103,8000,GF1635-3,16.8,20,1.3,14818,34.6,21.2,1.63
M1103,8000,GF1635-3,16.8,40,3.2,16418,85.0,53.9,1.58
M1103,8000,GF1635-3,16.7,60,5.3,27803,130.0,88.4,1.47
M1103,8000,GF1635-3,16.7,80,7.1,38756,157.9,118.7,1.33
M1103,8000,GF1635-3,16.6,100,11.5,41444,215.8,190.4,1.13
M1103,8000,GF2015-2,16.8,20,1.3,9593,45.6,22.6,2.02
M1103,8000,GF2015-2,16.8,40,3.5,17989,104.5,58.5,1.79
M1103,8000,GF2015-2,16.7,60,5.9,27415,154.0,98.8,1.56
M1103,8000,GF2015-2,16.7,80,8.6,37368,204.5,143.3,1.43
M1103,8000,GF2015-2,16.4,100,12.9,57182,198.1,160.1,1.24
M1103,8000,GF1636-4,12.6,20,1.0,11385,19.4,12.1,1.60
M1103,8000,GF1636-4,12.6,40,2.7,27438,54.8,33.5,1.64
M1103,8000,GF1636-4,12.5,60,4.0,31147,81.3,50.6,1.61
M1103,8000,GF1636-4,12.5,80,5.5,48062,114.5,69.3,1.65
M1103,8000,GF1636-4,12.5,100,8.6,57747,155.6,107.8,1.44
M1103,8000,GF2023-3,12.6,20,1.3,21925,19.2,15.8,1.21
M1103,8000,GF2023-3,12.6,40,3.6,33871,50.6,44.7,1.13
M1103,8000,GF2023-3,12.5,60,5.5,41842,81.5,68.3,1.19
M1103,8000,GF2023-3,12.5,80,8.8,49274,114.5,110.1,1.04
M1103,8000,GF2023-3,12.3,100,15.4,53386,137.3,189.5,0.72
M1103,8000,GF65MMS-2,12.6,20,1.0,15920,28.9,12.2,2.37
M1103,8000,GF65MMS-2,12.6,40,2.8,30585,72.7,34.8,2.09
M1103,8000,GF65MMS-2,12.5,60,4.3,45992,106.2,53.8,1.97
M1103,8000,GF65MMS-2,12.5,80,6.0,54943,138.3,75.5,1.83
M1103,8000,GF65MMS-2,12.4,100,9.7,58851,194.6,120.9,1.61
M1103,8000,GF65MMS-2,8.4,20,0.5,16576,10.2,4.2,2.43
M1103,8000,GF65MMS-2,8.4,40,1.6,26438,35.1,13.1,2.68
M1103,8000,GF65MMS-2,8.4,60,2.8,33501,54.4,23.3,2.33
M1103,8000,GF65MMS-2,8.3,80,4.6,39976,86.7,38.1,2.28
M1103,8000,GF65MMS-2,8.3,100,7.4,47237,122.1,61.2,1.99
M1103,8000,GF63MM-3,8.4,20,0.6,9403,12.8,4.7,2.73
M1103,8000,GF63MM-3,8.4,40,2.2,15920,35.8,18.7,1.91
M1103,8000,GF63MM-3,8.3,60,6.2,19967,62.8,51.5,1.22
M1103,8000,GF63MM-3,8.3,80,7.9,25175,87.3,65.7,1.33
M1103,8000,GF63MM-3,8.2,100,11.7,27270,109.8,96.3,1.14
M1103,8000,GF3018-2,8.4,20,0.5,12641,13.4,4.5,2.98
M1103,8000,GF3018-2,8.4,40,1.9,20311,38.0,16.1,2.36
M1103,8000,GF3018-2,8.4,60,3.9,26476,69.4,32.4,2.14
M1103,8000,GF3018-2,8.3,80,6.7,32091,107.2,55.7,1.92
M1103,8000,GF3018-2,8.3,100,10.4,35707,139.8,85.9,1.63
M1103,11000,GF1636-3,12.6,20,1.5,14140,31.2,18.5,1.68
M1103,11000,GF1636-3,12.6,40,3.7,24386,72.3,46.2,1.57
M1103,11000,GF1636-3,12.5,60,6.1,25371,110.7,76.3,1.45
M1103,11000,GF1636-3,12.5,80,7.8,34320,134.1,97.5,1.38
M1103,11000,GF2015-2,12.6,20,1.6,13922,38.2,19.6,1.95
M1103,11000,GF2015-2,12.6,40,4.1,14644,89.7,51.3,1.75
M1103,11000,GF2015-2,12.5,60,6.8,17420,134.4,85.3,1.58
M1103,11000,GF2015-2,12.5,80,9.8,32859,176.3,122.6,1.44
M1103,11000,GF2015-2,12.4,100,15.2,51130,238.0,188.2,1.26
M1103,11000,GF2023-3,8.4,20,0.8,17420,16.4,6.7,2.44
M1103,11000,GF2023-3,8.4,40,2.6,27952,40.9,21.5,1.90
M1103,11000,GF2023-3,8.4,60,4.9,34484,70.8,40.7,1.74
M1103,11000,GF2023-3,8.3,80,8.0,42028,98.8,66.6,1.48
M1103,11000,GF2023-3,8.2,100,12.4,47593,131.2,102.0,1.29
M1103,11000,GF65MMS-2,8.4,20,0.8,19100,20.5,6.4,3.21
M1103,11000,GF65MMS-2,8.4,40,2.5,29971,55.9,20.7,2.70
M1103,11000,GF65MMS-2,8.4,60,4.5,37276,90.8,37.4,2.43
M1103,11000,GF65MMS-2,8.3,80,7.3,44765,131.7,60.6,2.17
M1103,11000,GF65MMS-2,8.2,100,11.3,51500,173.8,93.2,1.86
