motor,kv,prop,voltage_v,throttle_pct,current_a,rpm,thrust_g,power_w,efficiency_g_per_w
F1204,6500,GF3016,8.43,50,1.72,17718,55.05,14.54,3.79
F1204,6500,GF3016,8.42,55,2.10,19173,64.95,17.71,3.67
F1204,6500,GF3016,8.40,60,2.55,20590,76.88,21.47,3.58
F1204,6500,GF3016,8.39,65,2.97,21803,86.39,24.93,3.47
F1204,6500,GF3016,8.38,70,3.43,23078,97.52,28.77,3.39
F1204,6500,GF3016,8.36,75,3.91,24199,107.94,32.73,3.30
F1204,6500,GF3016,8.35,80,4.42,25442,116.34,36.89,3.15
F1204,6500,GF3016,8.32,85,4.98,26480,127.51,41.47,3.07
F1204,6500,GF3016,8.31,90,5.51,27293,136.56,45.79,2.98
F1204,6500,GF3016,8.29,95,6.19,27915,145.26,51.26,2.83
F1204,6500,GF3016,8.27,100,6.90,28718,153.53,56.99,2.69
F1204,6500,HQ3020,8.43,50,1.81,17420,55.05,15.26,3.61
F1204,6500,HQ3020,8.42,55,2.24,18865,66.52,18.81,3.54
F1204,6500,HQ3020,8.40,60,2.72,20297,78.97,22.82,3.46
F1204,6500,HQ3020,8.39,65,3.13,21327,87.38,26.29,3.32
F1204,6500,HQ3020,8.37,70,3.61,22560,98.06,30.20,3.25
F1204,6500,HQ3020,8.36,75,4.08,23570,108.10,34.13,3.17
F1204,6500,HQ3020,8.34,80,4.58,24531,117.36,38.21,3.07
F1204,6500,HQ3020,8.33,85,5.10,25528,125.46,42.43,2.96
F1204,6500,HQ3020,8.30,90,5.71,26602,137.03,47.40,2.89
F1204,6500,HQ3020,8.28,95,6.34,27580,147.59,52.54,2.81
F1204,6500,HQ3020,8.26,100,7.04,28338,156.34,58.20,2.69
F1204,5000,GF2540,12.22,50,1.41,19881,58.85,17.20,3.42
F1204,5000,GF2540,12.21,55,1.74,21387,68.80,21.24,3.24
F1204,5000,GF2540,12.20,60,2.07,22811,78.63,25.26,3.11
F1204,5000,GF2540,12.19,65,2.42,24129,87.49,29.51,2.96
F1204,5000,GF2540,12.18,70,2.82,25545,97.92,34.29,2.86
F1204,5000,GF2540,12.17,75,3.23,26733,108.01,39.27,2.75
F1204,5000,GF2540,12.16,80,3.69,28086,120.67,44.83,2.69
F1204,5000,GF2540,12.14,85,4.14,29285,129.85,50.27,2.58
F1204,5000,GF2540,12.13,90,4.64,30442,140.00,56.24,2.49
F1204,5000,GF2540,12.11,95,5.13,31324,148.95,62.13,2.40
F1204,5000,GF2540,12.09,100,5.63,32065,156.57,68.06,2.30
F1204,5000,HQ3020,12.23,50,1.50,19201,67.14,18.34,3.66
F1204,5000,HQ3020,12.22,55,1.87,20441,77.63,22.85,3.40
F1204,5000,HQ3020,12.20,60,2.26,21925,87.87,27.58,3.19
F1204,5000,HQ3020,12.20,65,2.62,23023,96.45,31.90,3.02
F1204,5000,HQ3020,12.18,70,3.04,24046,108.87,37.01,2.94
F1204,5000,HQ3020,12.17,75,3.47,25282,120.29,42.18,2.85
F1204,5000,HQ3020,12.16,80,3.92,26404,132.24,47.65,2.78
F1204,5000,HQ3020,12.14,85,4.41,27447,143.50,53.52,2.68
F1204,5000,HQ3020,12.12,90,4.97,28505,155.09,60.20,2.58
F1204,5000,HQ3020,12.11,95,5.48,29282,164.96,66.38,2.49
F1204,5000,HQ3020,12.09,100,5.96,29834,171.75,72.10,2.38
