motor,kv,prop,voltage_v,throttle_pct,current_a,rpm,thrust_g,power_w,efficiency_g_per_w
F1303,5000,HQ3018,11.94,50,1.83,22735,66.24,21.83,3.03
F1303,5000,HQ3018,11.92,55,2.23,24358,77.02,26.60,2.90
F1303,5000,HQ3018,11.91,60,2.67,25785,87.17,31.75,2.75
F1303,5000,HQ3018,11.89,65,3.16,27100,99.82,37.55,2.66
F1303,5000,HQ3018,11.87,70,3.74,28724,109.31,44.44,2.46
F1303,5000,HQ3018,11.84,75,4.35,29547,125.84,51.47,2.44
F1303,5000,HQ3018,11.82,80,4.87,30926,133.38,57.58,2.32
F1303,5000,HQ3018,11.80,85,5.40,31974,143.74,63.72,2.26
F1303,5000,HQ3018,11.77,90,6.07,32846,159.87,71.41,2.24
F1303,5000,HQ3018,11.74,95,6.69,33709,166.34,78.51,2.12
F1303,5000,HQ3018,11.70,100,7.45,34651,177.27,87.15,2.03
F1303,5000,GF2540,11.94,50,1.82,22881,63.73,21.78,2.93
F1303,5000,GF2540,11.93,55,2.24,24389,73.74,26.70,2.76
F1303,5000,GF2540,11.92,60,2.65,26092,80.84,31.59,2.56
F1303,5000,GF2540,11.91,65,3.13,27486,92.33,37.32,2.47
F1303,5000,GF2540,11.88,70,3.71,28963,101.52,44.13,2.30
F1303,5000,GF2540,11.86,75,4.23,30162,112.37,50.14,2.24
F1303,5000,GF2540,11.84,80,4.70,31523,118.44,55.71,2.13
F1303,5000,GF2540,11.82,85,5.27,32758,128.49,62.26,2.06
F1303,5000,GF2540,11.80,90,5.86,33678,136.69,69.16,1.98
F1303,5000,GF2540,11.76,95,6.51,34868,144.42,76.55,1.89
F1303,5000,GF2540,11.70,100,7.18,35612,151.18,84.05,1.80
