loopIteration, time (us), axisP[0], axisP[1], axisP[2], axisI[0], axisI[1], axisI[2], axisD[0], axisD[1], axisF[0], axisF[1], axisF[2], rcCommand[0], rcCommand[1], rcCommand[2], rcCommand[3], setpoint[0], setpoint[1], setpoint[2], setpoint[3], baroAlt, gyroADC[0], gyroADC[1], gyroADC[2], gyroUnfilt[0], gyroUnfilt[1], gyroUnfilt[2], accSmooth[0], accSmooth[1], accSmooth[2], imuQuaternion[0], imuQuaternion[1], imuQuaternion[2], motor[0], motor[1], motor[2], motor[3], flightModeFlags (flags), stateFlags (flags), failsafePhase (flags), rxSignalReceived, rxFlightChannelsValid
  0, 8126750, -50, -12,   2,  -1,  -2,  -1, -23, -25,   0,   0,   0,   0,   0,   0, 1630,   0,   0,   0, 657,   0,   5,   5,   2,   8,  -9,   3,   0,   0, -382,   5,  -6,  -4, 1702, 1781, 1561, 1633, 0, 0, IDLE, 0, 0
  1, 8126875, -56,  -7,   2,  -1,  -2,  -1, -35, -22,   0,   0,   0,   0,   0,   0, 1630,   0,   0,   0, 657,   0,   5,   3,   2,   7, -11,   2,   0,   0, -382,   5,  -6,  -3, 1727, 1789, 1552, 1609, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX, IDLE, 1, 1
  2, 8127000, -60,  -2,   2,  -1,  -2,  -1, -47, -16,   0,   0,   0,   0,   0,   0, 1630,   0,   0,   0, 657,   0,   6,   1,   2,   7, -12,   1,   0,   0, -382,   5,  -6,  -3, 1753, 1793, 1546, 1583, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX, IDLE, 1, 1
  3, 8127125, -63,   3,   1,  -2,  -2,  -1, -58, -10,   0,   0,   0,   0,   0,   0, 1630,   0,   0,   0, 656,   0,   6,  -1,   2,   7, -14,  -1,   0,   0, -382,   5,  -6,  -3, 1778, 1795, 1543, 1558, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX, IDLE, 1, 1
  4, 8127250, -64,   8,   1,  -2,  -2,  -1, -69,  -2,   0,   0,   0,   0,   0,   0, 1630,   0,   0,   0, 656,   0,   6,  -4,   2,   6, -16,  -2,   0,   0, -382,   5,  -6,  -3, 1802, 1793, 1543, 1534, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX, IDLE, 1, 1
  5, 8127375, -64,  13,   1,  -2,  -2,  -1, -76,   7,   0,   0,   0,   0,   0,   0, 1630,   0,   0,   0, 656,   0,   6,  -6,   1,   5, -17,  -5,   0,   0, -382,   5,  -6,  -3, 1823, 1787, 1549, 1513, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX, IDLE, 1, 1
  6, 8127500, -62,  17,   1,  -2,  -2,  -1, -80,  16,   0,   0,   0,   0,   0,   0, 1630,   0,   0,   0, 655,   0,   6,  -8,   0,   4, -15,  -8,   0,   0, -359,   5,  -6,  -3, 1837, 1777, 1559, 1498, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX, IDLE, 1, 1
  7, 8127625, -58,  20,   1,  -2,  -2,  -1, -79,  24,   0,   0,   0,   0,   0,   0, 1630,   0,   0,   0, 655,   0,   6,  -9,  -2,   2, -10, -11,   0,   0, -359,   5,  -6,  -3, 1842, 1761, 1574, 1492, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX, IDLE, 1, 1
  8, 8127750, -52,  20,   1,  -2,  -2,  -1, -73,  31,   0,   0,   0,   0,   0,   0, 1630,   0,   0,   0, 655,   0,   5,  -9,  -3,   0,  -3, -12,   0,   0, -359,   6,  -6,  -3, 1836, 1742, 1593, 1497, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX, IDLE, 1, 1
  9, 8127875, -43,  18,   2,  -2,  -1,  -1, -61,  35,   0,   0,   0,   0,   0,   0, 1630,   0,   0,   0, 655,   0,   4,  -8,  -4,  -1,   4, -12,   0,   0, -359,   6,  -6,  -3, 1819, 1721, 1614, 1513, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX, IDLE, 1, 1
 10, 8128000, -34,  15,   2,  -2,  -1,  -1, -44,  36,   0,   0,   0,   0,   0,   0, 1630,   0,   0,   0, 654,   0,   3,  -6,  -6,  -2,   9, -10,   0,   0, -359,   6,  -6,  -3, 1790, 1698, 1638, 1540, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX, IDLE, 1, 1
